comments,appid,username,guid,password,phone,res
appid为空,,qatesta,,123456,15692005742,10002
appid错误,wrongappid,qatesta,,123456,15692005742,10002
username为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,,123456,15692005742,10003
username非法-5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test,,123456,15692005742,10003
username非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,1234567890123456789012345,,123456,15692005742,10003
username非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test#$#,,123456,15692005742,10003
username中文,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,中文用户名,,123456,15692005742,10003
password为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,,15692005742,10006
password非法-5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,12345,15692005742,10006
password非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,1234567890123456789012345,15692005742,10006
password非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,123#$%,15692005742,10006
password中文,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,中文密码,15692005742,10006
guid为空且phone为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,,,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,,1569200572,10005
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,,156920057421,10005
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatesta,,,15692005q42,10005
成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatestsuccess,,123456,18011963147,10008
