comments,appid,code_id,username,guid,phone,password,res
appid为空,,12345,qatest1,,15692005742,123456,10002
appid错误,wrongappid,12345,qatest1,,15692005742,123456,10002
code_id为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,qatest1,,15692005742,123456,10011
code_id错误,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,15692005742,123456,10014
phone为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,,123456,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,1569200572,123456,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,156920057423,123456,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,15692005q42,123456,10011
username不存在即游客password为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest11,,15692005742,,10011
username不存在即游客password非法-5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest11,,15692005742,12345,10011
username不存在即游客password非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,15692005742,1234567890123456789012345,10011
username不存在即游客password非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,15692005742,123456@#$,10011
username不存在即游客password中文,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,qatest1,,15692005742,中文密码,10011
