comments,appid,code_id,username,phone,password,res
appid为空,,12345,testblind,15692005742,123456,10002
appid错误,wrongappid,123456,testblind,15692005742,123456,10002
code_id为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,testblind,15692005742,123456,10011
code_id错误,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,15692005742,123456,10014
username为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,,15692005742,123456,10011
username不存在,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testno,15692005742,123456,10011
phone为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,,123456,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,156920057421,123456,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,1569200574,123456,10011
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,1569200q421,123456,10011
password为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,15692005742,,10011
password非法-5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,15692005742,123456,10011
password非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,15692005742,1234567890123456789012345,10011
password非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,15692005742,12345#$%,10011
password中文,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123456,testblind,15692005742,中文密码,10011
testblind修改密码,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,999,testblind,18011963147,654321,10001
