comments,appid,username,phone,code_type,guid,res
appid为空,,qatest1,15692005742,1,,10002
appid错误,wrongappid,qatest1,15692005742,1,,10002
username为空且guid为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,15692005742,1,,10003
username非法—5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test1,15692005742,1,,10003
username非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,1234567890123456789012345,15692005742,1,,10003
username非法-非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test#$%,15692005742,1,,10003
username非法-非字母开头,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,1234test1,15692005742,1,,10003
username非法-中文账号,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,中文账号,15692005742,1,,10003
phone为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,,1,,10005
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,155q4668742,1,,10005
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,1569200574,1,,10005
phone非法,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,156920057422,1,,10005
code_type为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,15692005742,,,10012
code_type非法-0,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,15692005742,0,,10012
code_type非法-3,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,15692005742,3,,10012
code_type非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,15692005742,%,,10012
code_type正确且成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest6,13427680261,2,,10001
username为空使用guid成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,15692005742,1,thisisguid,10001
testblind获取验证码用于修改密码,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,testblind,18011963147,2,,10001
