appid,username,mail,phone,password,guid,sessionid,res
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123456,,,10001
,wuweihku,,,123456,,,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuwei123,,,123456,,,10009
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123686,,,10016
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123456,,,10001
,wuweihku,,,123456,,,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuwei123,,,123456,,,10009
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123686,,,10016
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123456,,,10001
,wuweihku,,,123456,,,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuwei123,,,123456,,,10009
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123686,,,10016
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123456,,,10001
,wuweihku,,,123456,,,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuwei123,,,123456,,,10009
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123686,,,10016
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123456,,,10001
,wuweihku,,,123456,,,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuwei123,,,123456,,,10009
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,,123686,,,10016
