comments,appid,username,password,repassword,res
appid为空,,qatest1,123456,123456,10002
appid错误,wrongappid,qatest1,123456,123456,10002
appid正确其它也正确注册成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,123456,123456,10008
username为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,123456,123456,10003
username非法—5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test,123456,123456,10003
username非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qaqaqaaqaqaqaqaqaqaqaqaqaqaqaqqqaqqaqaqaqaqaqaqaqaqqaqaqaqaqaqaqaqaqaqaq,123456,123456,10003
username非法-非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,test#$%,123456,123456,10003
username非法-非字母开头,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,123test,123456,123456,10003
username非法-中文账号,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,这是中文账号,123456,123456,10003
username已存在,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest1,123456,123456,10008
username正确且注册成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatestnew,123456,123456,10008
password为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,,123456,10006
password非法-5位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,12345,12345,10006
password非法-20+位,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,1234567890123456789012345,1234567890123456789012345,10006
password非法-非法字符,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,12345#$%,12345#$%,10006
password非法-中文,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,密码密码,密码密码,10006
password正确且注册成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,123456,123456,10008
repassword为空,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest3,123456,,10007
repassword不一致,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest2,1234576,1234567,10007
repassword一致且注册成功,4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,qatest3,123456,123456,10008
